PHIL A125,History of Ancient Philosophy,3
PHIL A140,History of Modern Philosophy,3
PHIL A165,The Theory of Knowledge,3
PHIL A185,Contemporary Philosophy,3
PHOT A101,Photography and Society,3
PORT A185,Elementary Portuguese 2,5
RLST A100,Introduction to Religious Studies,3
RLST A110,World Religion,3
RLST A115,Philosophy of Religion,3
RLST A135,Religion, Spirituality and Society,3
RLST A150,Eastern Thought,3
RLST A151,Early and Western Religions,3
SPAN A185,Elementary Spanish 2,5
SPAN A280,Intermediate Spanish 1,5
SPAN A285,Intermediate Spanish 2,5
VIET A185,Elementary Vietnamese 2,5
/*Area 4*/
ANTH A100,Cultural Anthropology,3
ANTH A102,Native American,3
ANTH A187,Introduction to Primate Studies,3
ANTH A190,Introduction to Linguistic Anthropology,3
ANTH A220,Magic, Witchcraft, and Religion,3
ANTH A280,Introduction to Archaeology,3
CDE A180,Child, Growth and Development,3
CMST A155,Intercultural Communications,3
ECON A100,Economics: General Concepts,3
ECON A170,Microeconomics,3
ECON A175,Macroeconomics,3
ETHS A100,Contemporary Ethnic America,3
ETHS A110,Introduction to LatinX Studies,3
ETHS A115,Introduction to Asian American and Pacific Islander Studies,3
ETHS A190,The Ethnic Family,3
GNDR A100,Introduction to Gender Studies,3
GNDR A130,Women, Politics, and Inequality,3
GNDR A187,Women in History,3
GEOG A100,World Regional Geography,3
GEOG A150,California Geography,3
GEOG A185,Cultural Geography,3
GLST A101,Introduction to Global Studies,3
GLST A102,Global Issues,3
HIST A101,Afro-American History,3
HIST A140,The California Experience,3
HIST A144,History of Latin America,3
HIST A145,History of Mexico,3
HIST A151,History of the Middle East to 1500,3
HIST A152,History of the Middle East Since 1500,3
HIST A170,History of the United States to 1876,3
HIST A175,History of the United States Since 1876,3
HIST A176,Women In U.S. History,3
HIST A180,Western Civilization 1,3
HIST A185,Western Civilization 2,3
HIST A187,Women in History,3
PSCI A101,Survey of Current Issues,3
PSCI A110,International Relations,3
PSCI A180,American Government,3
PSCI A185,Comparative Politics,3
PSCI A188,Introduction to Political Theory,3
PSYC A100,Introduction to Psychology,3
PSYC A110,Psychology of Adjustment,3
PSYC A130,Life Span Developmental Psychology,3
PSYC A165,Principles of Human Sexuality 1,3
PSYC A185,Principles of Psychology,3
PSYC A190,Cross-Cultural Psychology,3
PSYC A220,Psychology of Personality,3
PSYC A255,Abnormal Psychology,3
PSYC A260,Social Psychology,3
PSYC A270,Psychology of Learning,3
PSYC A280,Introduction to Experimental Methods,4
PUBH A203,Health and Social Justice,3
SJS A101,Introduction to Race and Ethnicity,3
SJS A102,Social Justice and Activism,3
SOC A100,Introduction to Sociology,3
SOC A110,Introduction to Dating, Relationships, and Marriage,3
SOC A150,Introduction to Race and Ethnicity,3
SOC A185,Analysis of Social Problems,3
